ProtA	ProtB	label
P00533	P22681	nob
P01903	P04229	ob
P39077	P47079	ob
O14646	P68431	nob
P03372	Q15596	nob
P06710	P28631	ob
P04637	Q00987	nob
Q07869	Q15788	nob
P32585	P38304	nob
Q9NTG7	Q9NUB1	nob
P62805	Q16576	nob
P08238	P31948	nob
P0CX55	P39015	ob
P02916	P68183	ob
P19793	Q9Y618	nob
P0CX23	P36105	ob
Q9Y230	Q9Y265	ob
O60494	P27352	ob
Q16548	Q16611	nob
P02452	P02751	nob
P36941	Q13114	nob
O00499	P01106	nob
P20226	P52657	ob
P05556	P08648	ob
P02829	P38825	nob
Q16665	Q9GZT9	nob
P19429	P63316	ob
P03372	Q8WTS6	nob
Q5TBB1	Q8TDP1	ob
P05748	P17076	ob
P18206	Q9Y490	nob
P62877	Q13616	ob
P13498	P14598	nob
Q04206	Q8TBK2	nob
P30464	P51965	nob
O75533	Q96I25	nob
P08709	P13726	ob
P00968	P0A6F1	ob
P56524	P61981	nob
P05412	P15336	ob
P38862	P40344	nob
P02686	Q30154	nob
P20248	P46527	nob
P53779	Q9UQF2	nob
P30443	P43355	nob
P28482	Q9BUB5	nob
P43487	P62826	ob
P04271	P52907	nob
P68431	Q96T88	nob
P46100	P84243	nob
P21333	Q8WUP2	nob
P01112	P20936	nob
P00734	P12259	nob
P16370	P38902	ob
P0C0W1	P25443	ob
P01112	Q07889	nob
P07992	P23025	nob
Q96AY2	Q96NY9	ob
O94829	P63279	nob
P60953	Q9NQU5	nob
P22681	Q9C004	nob
P05386	P05387	ob
P01903	P60174	nob
P25791	Q86U70	nob
P48415	Q04491	ob
Q15554	Q9H816	nob
P01834	P18465	nob
P11142	P25685	nob
O95630	Q9Y3E7	nob
O15169	P25054	nob
P23639	P25043	ob
P01031	P13671	ob
P29074	Q12879	nob
O60880	Q13291	nob
P35269	Q9Y5B0	nob
P07766	P43405	nob
P36897	P37173	ob
O14907	P48050	nob
P0A7L3	P0AG48	ob
P52565	P61586	nob
Q16531	Q96JK2	nob
P0A855	P0A912	nob
Q96FZ7	Q9UN37	nob
Q16531	Q58WW2	nob
P02753	P02766	ob
P68431	Q03164	nob
O75340	Q8WUM4	nob
P11474	Q9UBK2	nob
O43745	P19634	nob
Q03067	Q6WNK7	nob
P32909	Q12186	nob
P08191	P31697	ob
P04632	P17655	ob
O00213	P05067	nob
Q15797	Q9HCE7	nob
P05067	P08253	nob
O60341	O95863	nob
O43521	Q16548	nob
P0CX84	Q12690	ob
Q15788	Q96RI1	nob
P01160	P14735	nob
Q15369	Q96DX5	ob
P15705	P22202	nob
P02293	P40019	nob
P06213	P35568	nob
P13393	P32773	ob
P32379	P40303	ob
P11831	P28324	ob
P49407	P63010	nob
P32379	P40302	ob
P0AB98	P68699	ob
P52292	Q14974	nob
P40482	Q01590	nob
P0AC44	P69054	ob
O60673	Q9UI95	nob
P41182	Q6W2J9	nob
O15234	P38919	nob
P06400	Q01094	nob
P63098	Q08209	ob
Q07817	Q14457	nob
O43566	P63096	nob
P10412	Q13185	nob
O60671	O60921	ob
P46937	Q15797	nob
P12612	P40413	ob
P01730	P04229	ob
P19524	P53141	nob
P03951	P05067	nob
P16104	Q6ZW49	nob
P19634	Q99653	nob
Q8WUW1	Q92558	ob
Q15554	Q9BSI4	nob
O14810	P63027	ob
Q15631	Q99598	ob
Q6NXT2	Q9UPP1	nob
P0A8Q0	P0A8Q3	ob
P39081	Q08685	nob
P08581	P22681	nob
O14508	Q15369	ob
P21333	P26010	nob
P05106	P06756	ob
P55201	Q71DI3	nob
P55072	Q9UKV5	nob
P20963	P43403	nob
P38629	P40348	ob
O43559	Q9UM73	nob
Q07869	Q9Y618	nob
P08518	P22139	nob
P39078	P42943	ob
P23638	P23639	ob
P68431	Q9UPN9	nob
P63165	Q9P0U3	nob
P25054	Q12959	nob
P23615	Q06505	nob
P11349	P11350	ob
P20248	P28749	nob
P25942	Q12933	nob
P63146	Q9NS91	nob
P0A7R5	P0AG59	ob
O00482	Q15596	nob
P28630	P28631	ob
P06609	P37028	ob
P00533	Q13191	nob
P54098	Q9UHN1	ob
P26785	P36105	ob
P07648	P08394	ob
P62314	P62316	ob
O43597	P22681	nob
P30622	Q9P270	nob
P38251	P38630	ob
P25942	Q13114	nob
O75164	P68431	nob
P16410	P33681	nob
P10997	P14735	nob
Q06339	Q12308	ob
O43157	Q9NZN5	nob
Q13620	Q86VP6	ob
P0A8S9	P0ABY7	ob
P04637	P31947	nob
P30130	P31697	ob
Q13616	Q86VP6	ob
P01892	Q92959	nob
O15392	Q9NR28	nob
P06213	Q14449	nob
Q7RTN6	Q9Y376	ob
P08069	P35568	nob
P28347	P46937	nob
Q07820	Q9H2K2	nob
P62993	Q9UQC2	nob
P11940	Q9BPZ3	nob
P49687	P52891	ob
P0A8Q6	P0ABT2	ob
P09619	P27986	nob
P04637	Q8WTS6	nob
P32585	P34162	ob
O43791	O75367	nob
P0CX51	P26783	ob
O75792	Q5TBB1	ob
P57740	Q8WUM0	ob
P52655	P52657	nob
P40337	Q16665	nob
P20333	Q12933	nob
P29468	P45976	nob
P16860	P17342	nob
P53843	P69771	nob
P0A903	P0AC02	ob
P32790	P43603	nob
P03950	P13489	nob
O15105	Q9HAU4	nob
P31749	P49841	nob
Q96QT6	Q9UBU8	nob
P03989	P47974	nob
P18509	P41586	nob
P07143	P08525	ob
P01106	P61244	ob
P63010	Q5SW96	nob
P62877	Q93034	ob
Q8N488	Q99496	nob
O75164	Q16695	nob
P13051	P15927	nob
P00163	P08067	ob
P16144	Q15149	ob
O14686	P61964	nob
P08067	P22289	ob
P02994	P32471	nob
P33322	Q6Q547	nob
P38077	Q12165	ob
P22216	P34217	nob
P01892	Q9NPA0	nob
P10275	Q15596	nob
P22307	P50542	ob
P0A8Q3	P0AC47	ob
O15151	P04637	nob
P43489	Q12933	nob
P00734	P01008	ob
P08189	P08190	nob
Q86YP4	Q9UBB5	ob
P02413	P0A7Q1	ob
P61956	Q6VMQ6	nob
Q15233	Q8WXF1	ob
P05317	P05319	ob
P05317	P05318	ob
P01308	P14735	nob
Q96B26	Q9NQT4	ob
P36404	Q9Y2Y0	ob
P40509	P53622	ob
P60763	Q13153	nob
O00255	Q03164	nob
Q99549	Q9Y6K1	nob
P28702	Q15596	nob
P00729	P14306	ob
O14544	P10721	nob
P05318	P05319	ob
Q13133	Q15596	nob
P07359	P21333	nob
O15392	Q9NQS7	ob
P04050	P16370	ob
O75581	Q9BQB4	nob
P01903	Q05639	nob
P02309	P53686	nob
P36149	Q03337	ob
P46948	Q05636	ob
P33298	P50086	nob
P03989	P32241	nob
P25043	P25451	ob
P04629	P29353	nob
P36897	P62942	nob
P53290	Q00582	ob
O43617	Q86SZ2	ob
P17948	P49763	ob
O00560	P31431	nob
P23724	P25043	ob
Q13216	Q16531	ob
Q13133	Q15788	nob
Q02724	Q12306	nob
P53853	Q07794	ob
P08559	P11177	ob
O95931	Q99496	nob
O75928	P63165	nob
P38251	P40348	ob
Q86VN1	Q96H20	ob
P61830	Q08465	nob
P01892	P04229	nob
P48061	P61073	nob
P45983	Q9UQF2	nob
P09130	P10026	nob
P06609	P06611	ob
P0A7N4	P61175	ob
O96013	P60763	nob
P30307	P53350	nob
P09152	P11349	ob
P13382	P38121	ob
P04637	Q9NRG4	nob
P17612	P61925	nob
P61244	Q05195	ob
P00452	P68688	nob
P06865	P07686	ob
P61964	Q8NEZ4	nob
P01583	Q99584	ob
P06730	Q04637	nob
P19793	Q15596	nob
P10276	Q15788	nob
P0A8Q0	P0AC47	ob
P11142	P31948	nob
P07256	P07257	ob
O95149	Q14974	nob
P00830	P07251	ob
P22681	P43405	nob
P10145	P25024	nob
Q99523	Q9UJY5	nob
A0A5B9	P01848	ob
P11717	Q9UJY5	nob
P22681	P43403	nob
P04049	P63104	nob
P06400	P20248	nob
O75533	Q9Y3B4	nob
P07998	P13489	nob
P35222	Q9Y297	nob
P06367	P39938	ob
P11717	Q9NZ52	nob
P0ACD8	P69739	ob
P21243	P23639	ob
P07834	P52286	ob
P01730	Q05397	nob
P00734	Q96RI0	nob
O00267	P63272	ob
O14965	Q9ULW0	nob
P38968	Q04491	ob
P22303	Q9Y215	ob
P58340	P62258	nob
P33307	Q02821	ob
P78314	Q9H2K2	nob
Q9H251	Q9Y6N9	nob
P62805	Q12830	nob
P08518	P20433	ob
Q07817	Q9Y5Z4	nob
P05750	P38011	ob
Q9BRT9	Q9Y248	ob
P28241	P28834	ob
P08518	P16370	ob
P00163	P08525	ob
Q15276	Q9NZ52	nob
Q16531	Q8WV16	nob
P02458	P13760	nob
P20366	P25103	nob
P04229	P60174	nob
P30153	P63151	ob
O43521	Q07812	nob
P04911	P38850	nob
P21549	P50542	ob
P03989	Q01668	nob
Q92547	Q9BX63	nob
P10275	Q9Y6Q9	nob
P22141	P30656	ob
P04456	P0CX84	ob
P25942	P29965	nob
P11274	P55196	nob
P63165	Q9UBT2	nob
O14776	P53350	nob
P13232	P16871	ob
P11940	Q9H074	nob
P01848	P01850	ob
P0A780	P0A7R5	nob
P04049	P31947	nob
P04050	P20435	nob
P04050	P20436	ob
P30479	Q13126	nob
P07766	Q8TE68	nob
P63208	Q969H0	ob
P04229	P04233	nob
P31947	Q9NPC2	nob
P05067	Q02410	nob
P25043	P30657	ob
P43146	Q9HD67	nob
P0A7V3	P0AG59	ob
O75376	P04150	nob
P30657	P38624	ob
Q9H2K2	Q9NWT6	nob
P18754	P62826	nob
P00751	P01024	ob
P01135	P14735	nob
O43521	Q07820	nob
P07149	P19097	ob
P20645	Q9NZ52	nob
P26449	P41695	nob
O43521	Q07817	nob
P49354	P49356	ob
P17342	P23582	nob
P01033	P08254	nob
P68431	Q14839	nob
O14746	P05534	nob
Q09472	Q16665	nob
Q7L576	Q92558	ob
P11532	Q14118	nob
P15873	Q12306	ob
P0C2H6	P14120	ob
P11362	Q8WU20	nob
P05106	P08514	ob
P07014	P0AC44	ob
O14980	O95149	ob
P23724	P30657	ob
P84243	Q96T88	nob
P20676	Q06142	nob
P13612	P26010	ob
P40477	Q02647	nob
P42771	Q00534	nob
P11802	P24385	ob
P24394	P35568	nob
P10591	P38825	nob
O60341	Q16695	nob
P55072	Q9Y263	nob
P18887	Q96T60	nob
O43157	P63000	ob
P11940	Q99700	nob
P04050	Q04307	nob
P05067	P14735	nob
O43683	Q8NG31	nob
P0A6F5	P0A6F9	ob
P22216	P32447	nob
P56817	Q9UJY5	nob
P37231	Q15596	nob
P0A6F3	P69783	nob
P67775	Q9UIC8	ob
P01892	Q86UW6	nob
O15392	Q53HL2	ob
P01100	P05412	ob
P01903	Q16655	nob
O95166	P27797	nob
Q14596	Q9H0R8	nob
P53112	P80667	nob
P30481	Q9Y5X3	nob
P04637	Q09472	nob
P23471	Q12860	ob
P16861	P16862	ob
P54274	Q9BSI4	nob
P06780	P33332	ob
P0CX23	Q02753	ob
P01892	P40967	nob
P04386	P04387	nob
P47068	Q12446	nob
P47822	Q08278	ob
P25298	P25299	nob
P39076	P39079	ob
P39076	P39077	ob
P02745	P02746	ob
P01892	P27797	nob
P24588	Q08209	nob
P04637	Q13625	nob
P26368	Q15637	nob
P10507	P11914	ob
P21242	P21243	ob
Q9BRX5	Q9Y248	ob
P63208	Q9UKT5	ob
Q03630	Q03784	ob
P22524	P60293	ob
P18545	P51160	nob
P45983	Q12968	nob
P03989	P47871	nob
Q03497	Q12163	nob
P02462	P08572	ob
P47142	Q06696	ob
P00734	P25116	nob
P20248	P24941	nob
P01892	P19544	nob
O00482	Q15466	nob
O13297	Q01159	ob
O75563	Q9Y2R2	nob
P16104	P17693	nob
P12004	Q5TBB1	nob
P38701	P41058	nob
P12956	P13010	ob
P00579	P0A8T7	ob
P01584	P14778	nob
Q7L576	Q9Y2A7	ob
P08575	P20963	nob
P0CX29	P0CX33	ob
Q16665	Q9NWT6	nob
Q9NSD9	Q9Y285	ob
P47142	Q12483	ob
P61964	Q9UPS6	nob
Q16531	Q8N5D0	nob
P13747	P17693	nob
Q07817	Q16611	nob
P60484	Q6P0Q8	nob
O60341	Q9UKL0	ob
P00452	P69924	nob
O75792	Q8TDP1	ob
Q9GZY6	Q9ULZ2	nob
P38398	Q13085	nob
Q06330	Q92585	nob
P0C2H6	P87262	ob
P05108	P10109	nob
O14777	Q9BZD4	ob
P61024	Q13309	nob
P05107	P20702	ob
P25604	Q02767	nob
P15289	Q8NBK3	nob
P01160	P17342	nob
O14964	Q99816	nob
O00255	P17535	nob
P05744	Q02326	ob
P10321	P13747	nob
P15692	P17948	ob
P04637	P20248	nob
P04050	P08518	ob
P15303	P38968	nob
O75015	P01857	ob
O95405	Q15796	nob
P24941	P61024	nob
Q13564	Q8TBC4	ob
Q92673	Q9UJY5	nob
P04439	P60201	nob
P01892	Q16655	nob
P01892	Q8WVV4	nob
P61006	Q01968	ob
Q01094	Q14186	ob
P0A9A6	P77173	nob
P28908	Q12933	nob
P07276	P32776	nob
Q15543	Q15544	nob
O15047	P61964	nob
P49792	P62826	nob
P25451	P30656	ob
P12004	P39748	nob
