ProtA	ProtB	ELMA	ELMB	Degree	Score	Fusion	Phylogenetic_profiling	Homology	Co-expression	Experiment	Database	Textmining	Neighborhood	STRING_Degree	Sim_CC	Sim_BP	Sim_MF	ClassLabel
Q8TB24	Q9Y5K6	15	21	181	0.911	0	0	0	0.054	0.906	0	0.079	0	10	0	0.178693497984	0.0151446123989	nob
P04626	Q14451	16	31	380	0.989	0	0	0	0.446	0.36	0.9	0.727	0	10	0.251476970951	0.13189036997	0.750180418479	nob
O15533	P30101	20	18	160	0.984	0	0	0	0	0.103	0.9	0.838	0	10	0	0.319915618124	0.0151446123989	ob
P55055	Q15596	25	26	152	0.914	0	0	0	0	0.909	0	0.094	0	10	0	0.0818470781615	0.301505855981	nob
P01892	P01903	26	19	58	0	0	0	0	0	0	0	0	0	9	0.641030982614	0.713896262422	0.698502972593	nob
P0A8T7	P0A8V2	27	27	13	0.999	0.884	0.782	0	0.98	0.988	0.677	0.788	0.746	14	0	0.355652567671	0.102886619617	ob
Q96CA5	Q9NR28	14	18	126	0.872	0	0	0	0	0.382	0	0.802	0	10	0	0.0659936609415	0.0151446123989	nob
P07737	P50552	20	21	175	0.986	0	0	0	0.055	0.73	0.9	0.521	0	10	0.566764681756	0.384617586493	0.397744942754	nob
P02675	P02679	22	16	135	0.999	0	0	0	0.953	0.992	0.9	0.16326	0	10	1.0	0.799201316023	0.533685662203	ob
Q02108	Q02153	19	16	27	0.98	0	0.096416	0	0.636	0.36	0.9	0.16744	0	10	0.777187959897	0.928474065605	0.852477177596	ob
P68431	Q12830	26	15	512	0.568	0	0	0	0.09	0.521	0.9	0.137	0	19	0.328698515619	0.459103544489	0.0151446123989	nob
P00533	Q9UJM3	15	16	1208	0.923	0	0	0	0.053	0.793	0	0.641	0	10	0.618510481483	0.0659936609415	0.242362391951	nob
P0CG48	P14735	13	20	1612	0.459	0	0	0	0.054	0.36	0	0.177	0	10	0	0.175247560727	0.180282726243	nob
P01892	P43358	26	21	61	0	0	0	0	0	0	0	0	0	9	0	0	0.0151446123989	nob
P05107	P21333	15	10	386	0.784	0	0	0	0.072	0.752	0	0.138	0	10	0.335740847045	0.247753286124	0.651960739759	nob
P0AFX7	P0AFX9	15	25	5	0.999	0	0.625	0	0.341	0.934	0	0.797	0.886	14	0	0	0.102886619617	nob
Q9BZI7	Q9Y5S9	30	17	168	0.995	0	0	0	0.054	0.809	0.9	0.758	0	10	0	0.690870054627	0.241163816843	nob
P00797	P01019	31	21	19	0.999	0	0	0	0	0.866	0.9	0.963	0	10	0.436732904966	0.175247560727	0.301505855981	ob
P45530	P45531	21	19	2	0.999	0	0.781	0	0	0.988	0.661	0.677	0.884	14	0	1.0	0	ob
P01130	P02749	16	14	68	0.585	0	0	0	0	0.36	0	0.379	0	10	0	0.384088405278	0.750180418479	ob
P01892	P43357	26	16	29	0	0	0	0	0	0	0	0	0	9	0.0878609430863	0.29703335461	0.0151446123989	nob
P01892	Q9BZL6	26	17	61	0	0	0	0	0	0	0	0	0	9	0.374955936008	0.0789564956921	0.0151446123989	nob
P22213	Q01590	21	14	138	0.999	0	0	0	0.137	0.997	0	0.967	0	10	0	0.666697623056	0.0640990230188	nob
P25054	Q9ULH1	14	26	321	0.453	0	0	0	0.179	0.36	0	0	0	10	0	0	0.397744942754	nob
P01834	P01857	21	22	12	0	0	0	0	0	0	0	0	0	0	0	0.488607656592	0	ob
Q08AE8	Q9NZ56	11	14	19	0.914	0	0	0	0.054	0.8	0	0.583	0	10	0	0.13189036997	0	nob
P23638	P40303	18	26	172	0.999	0	0.032175	0	0.979	0.997	0.952	0.101387	0	11	1.0	0.834681815052	0.0640990230188	ob
P25604	Q99176	24	20	85	0.999	0	0	0	0	0.972	0.9	0.837	0	10	0.666607463668	0.908530315252	0.0640990230188	ob
P10599	P19838	27	15	343	0.908	0	0	0	0.053	0.673	0	0.725	0	10	0.213954163873	0.13189036997	0.180282726243	nob
P67775	Q9Y570	15	23	375	0.963	0	0	0	0.055	0.816	0	0.802	0.048	10	0	0	0.0151446123989	ob
Q03818	Q12380	12	28	41	0.999	0	0	0	0	0.932	0.9	0.964	0	11	0.0560935306379	0.94649366447	0.0640990230188	nob
Q96P09	Q9NR28	9	18	86	0.868	0	0	0	0	0.615	0	0.671	0	10	0	0	0	nob
O15294	P68400	14	22	608	0.852	0	0	0	0.106	0.83	0	0.103	0	10	0.413379777432	0.334111836131	0.244185953233	nob
P45531	P45532	19	15	0	0.999	0	0.782	0	0.255	0.979	0.677	0.524	0.881	14	0	1.0	0	ob
P61964	Q15291	29	10	280	0.993	0	0	0	0.116	0.903	0.9	0.336512	0	10	0.715513907237	0.773268152311	0.744827441852	nob
Q9UGI8	Q9Y615	10	16	64	0.876	0	0	0	0	0.876	0	0	0	10	0	0.230032500835	0.0151446123989	nob
P16104	Q8NEM0	11	24	319	0.592	0	0	0	0	0.36	0	0.389	0	10	0.350880134532	0	0.0151446123989	nob
P25604	P42939	24	15	71	0.999	0	0	0	0	0.972	0.9	0.821	0	10	0	0.908530315252	0.549986466584	ob
O95747	Q96J92	19	33	54	0.72	0	0	0	0.054	0.597	0	0.29678	0	10	0	0	0.0151446123989	nob
P04004	P05121	13	15	162	0.99	0	0	0	0.045	0.36	0.9	0.866	0	10	0.874224684661	0.430653424026	0.301505855981	nob
P24928	Q9GZU7	21	20	331	0.735	0	0	0	0.054	0.605	0	0.347	0	10	0.237606568467	0.129736483021	0.0151446123989	nob
P14736	P32628	26	28	146	0.999	0	0	0	0	0.993	0.9	0.974	0	10	0.0827251807243	1.0	0.707476121707	nob
P06729	Q9Y5K6	18	21	138	0.567	0	0	0	0	0.36	0	0.351	0	10	0	0.0128003121328	0.0151446123989	nob
P0A7J3	P0A7K2	12	22	8	0.999	0	0.336	0	0.995	0.998	0.9	0.93	0.76	14	0	1.0	0.102886619617	ob
Q16531	Q92466	22	30	369	0.998	0	0	0	0.072	0.956	0.9	0.748	0	10	0.815742493469	0.833921923416	0.641668466206	nob
P49023	Q9NVD7	27	23	160	0.996	0	0	0	0.072	0.925	0.9	0.564	0	10	0	0.384617586493	0.0151446123989	nob
P32379	P43583	23	32	140	0.997	0	0	0	0	0.965	0.9	0.291	0	10	1.0	0.725590945757	0	ob
Q13185	Q96KQ7	12	16	276	0.984	0	0	0	0.053	0.596	0.9	0.644	0	10	0.300324837308	0.459103544489	0.367038535268	nob
O95400	P06729	17	18	139	0.962	0	0	0	0	0.866	0	0.728	0	10	0.0723703227921	0.0128003121328	0.0151446123989	nob
Q8IUQ4	Q9HB71	18	25	400	0.986	0	0	0	0	0.606	0.9	0.688	0	10	0	0.773268152311	0.750180418479	nob
Q16695	Q96T88	26	14	304	0	0	0	0	0	0	0	0	0	9	0.328698515619	0.459103544489	0.523996724343	nob
P00734	P02679	19	16	45	0.997	0	0	0	0.708	0.827	0.9	0.635	0	10	0.697865870195	0.557267014688	0.301505855981	nob
Q9UBE0	Q9UBT2	17	18	154	0.999	0	0	0	0.383	0.988	0.9	0.32996	0	10	0.631484986937	0.886634076156	1.0	ob
P26321	Q02753	42	19	146	0.999	0	0	0	0.996	0.898	0.9	0.522	0	10	0	0.612717700806	0	ob
Q09028	Q8IX07	18	26	209	0.946	0	0	0	0.054	0.399	0.9	0.173	0	10	0.0157964442949	0.247753286124	0.0151446123989	nob
P63000	Q16512	15	23	376	0.965	0	0	0	0.061	0.34	0.9	0.504	0	10	0.240429848319	0.212151665442	0.408940657615	ob
P02671	P02679	9	16	55	0.999	0	0	0	0.953	0.992	0.9	0.18684	0	10	1.0	0.799201316023	0.533685662203	ob
P06241	P27986	16	13	697	0.988	0	0	0	0.094	0.845	0.9	0.291	0	10	0.270346495704	0.140336661817	0.301505855981	nob
P32773	P32774	16	22	42	0.999	0	0	0	0	0.972	0.9	0.977	0	10	0.801375333736	1.0	1.0	nob
O60341	P68431	10	26	949	0.433	0	0	0	0.09	0.36	0.9	0.15	0	19	0.328698515619	0.535664141333	0.0151446123989	nob
P04995	P0AGE0	13	8	10	0.826	0	0	0	0.057	0.802	0	0.143	0	14	0	0	1.0	nob
P02671	P02675	9	22	142	0.999	0	0	0	0.916	0.995	0.9	0.213894	0	10	1.0	0.799201316023	0.533685662203	ob
O75381	P50542	19	9	204	0.999	0	0	0	0.085	0.991	0.8	0.964	0	10	1.0	0.802391740489	0.540553543267	ob
P21242	P40302	18	16	169	0.999	0	0.054656	0	0.984	0.999	0.958	0.088256	0	12	1.0	0.834681815052	0	ob
Q7L576	Q8WUW1	9	25	95	0.996	0	0	0	0	0.905	0.9	0.693	0	10	0	0.196117765027	0.37511728094	nob
P52491	Q12395	28	21	28	0.965	0	0	0	0	0.932	0	0.504	0	10	1.0	0	-0.0	nob
P12272	Q14974	24	20	270	0.887	0	0	0	0	0.882	0	0.078	0	10	0.057717216906	0.212151665442	0.0151446123989	nob
P30990	Q99523	13	13	144	0.796	0	0	0	0	0.36	0	0.694	0	10	0.108694464423	0	0.0151446123989	nob
P15891	P53974	24	19	117	0.977	0	0	0	0.067	0.928	0	0.697	0	10	0.0200760321818	0.59209719569	0.0640990230188	nob
P20248	Q99741	12	32	191	0.999	0	0	0	0.695	0.918	0.9	0.74	0	10	0.0878609430863	0.13189036997	0.392143121384	nob
P00533	Q9ULV8	15	19	1162	0.969	0	0	0	0	0.776	0.8	0.373	0	10	0.618510481483	0.178693497984	0.244185953233	nob
P62826	Q92973	15	21	255	0.946	0	0	0	0.106	0.885	0	0.517	0	10	0	0.196117765027	0.241163816843	nob
P76077	P76079	11	11	4	0.999	0.763	0.782	0	0.078	0.863	0.677	0.508	0.869	14	0	0	0	ob
P81274	Q1MX18	13	13	31	0.987	0	0	0	0	0.875	0	0.902	0	10	0	0.230032500835	0.367038535268	nob
P25054	P35222	14	19	684	0.999	0	0	0	0.054	0.96	0.9	0.777	0	10	0.618510481483	0.785422196816	0.397744942754	nob
Q13794	Q16548	22	13	40	0.914	0	0	0	0.071	0.829	0	0.5	0	10	0	0	0.0151446123989	nob
Q9BY67	Q9Y2J2	26	15	122	0.81	0	0	0	0	0.36	0	0.715	0	10	0	0.195523913468	0.0151446123989	nob
P02458	P04229	11	20	30	0	0	0	0	0	0	0	0	0	9	0	0.175247560727	0.0151446123989	nob
O00268	Q16514	15	22	106	0.999	0	0	0	0.06	0.983	0.9	0.826	0	10	0.618510481483	0.820716687073	0.419140977849	nob
P41182	Q9Y618	22	18	305	0.736	0	0	0	0.043	0.36	0	0.603	0	10	0.3638230621	0.376566306184	0.0151446123989	nob
P67775	Q13362	15	10	318	0.997	0	0	0	0.055	0.923	0.9	0.649	0	10	0	0.743582207366	0.0151446123989	ob
P0CG48	Q96G74	13	14	1561	0.447	0	0	0	0.054	0.36	0	0.16	0	10	0	0	-0.0	nob
P38054	P77239	22	19	0	0.999	0.552	0.782	0	0.154	0.989	0.9	0.543	0.87	14	0	0.00406794489623	0	ob
P05747	Q02753	19	19	44	0.999	0	0	0	0.993	0.962	0.9	0.364	0	10	0	0.612717700806	0	ob
P08238	Q02790	12	21	838	0.971	0	0	0	0.169	0.401	0.9	0.496	0	10	0.0157964442949	0.196117765027	0.808243584928	nob
P26715	P29350	22	14	161	0.895	0	0	0	0	0.36	0.8	0.249	0	10	0	-0.0	0.0151446123989	nob
P36383	Q07157	17	20	129	0.787	0	0	0	0	0.36	0	0.681	0	10	0	0	0	nob
Q13620	Q16531	29	22	626	0.998	0	0	0	0.27	0.923	0.9	0.78	0	10	0.815742493469	0.833921923416	0.641668466206	ob
Q14691	Q9BRX5	11	13	45	0.999	0	0	0	0.584	0.988	0.9	0.953	0	10	0	0.0818470781615	0	ob
P09038	P11362	15	20	142	0.999	0	0	0	0.043	0.885	0.9	0.923	0	10	0.947461351986	-0.0	0.852477177596	nob
P55055	Q15788	25	27	195	0.922	0	0	0	0	0.916	0	0.103	0	10	0.241033199521	0.0818470781615	0.301505855981	nob
P08253	P16035	19	20	68	0.999	0	0	0	0.17	0.901	0.9	0.967	0	10	0.282495623419	0.430653424026	0.0151446123989	ob
P04993	P07648	13	11	3	0.999	0	0.778	0	0.133	0.945	0.72	0.909	0.666	14	0.769454721539	1.0	1.0	ob
Q06696	Q12483	16	15	41	0.999	0	0	0	0.152	0.997	0.9	0.914	0	10	0.666607463668	0.94649366447	0.0640990230188	ob
P52298	Q09161	34	23	193	0.999	0	0	0	0.119	0.997	0.9	0.962	0	10	0.736387104757	0.785422196816	0.241163816843	nob
P01912	P04233	17	26	44	0	0	0	0	0	0	0	0	0	9	0.309024131418	0.392517440875	0.514283873234	nob
Q13042	Q8NHZ8	18	23	196	0.998	0	0	0	0.053	0.955	0.9	0.759	0	10	0.626994779049	0.69616301536	0.0151446123989	nob
P62508	Q15788	21	27	179	0.985	0	0	0	0	0.977	0	0.365	0	10	0.174464937092	0	0.0151446123989	nob
P01892	P33241	26	7	42	0	0	0	0	0	0	0	0	0	9	0	0.208234049197	0	nob
P55957	Q92843	19	19	118	0.517	0	0	0	0.045	0.359	0	0.277	0	11	0	0.196117765027	0.0151446123989	nob
O43617	O75865	15	13	94	0.997	0	0	0	0.101	0.828	0.9	0.845	0	10	0	0	0.0151446123989	ob
P52891	Q04491	21	16	195	0.999	0	0	0	0.068	0.993	0.9	0.847	0	10	0.377721041489	0.834681815052	0.0640990230188	ob
P02407	P32905	24	15	151	0.999	0	0	0	0.998	0.923	0.9	0.295	0	10	0	0	0	ob
P84022	Q96PU5	22	18	641	0.974	0	0	0	0.052	0.678	0.9	0.257	0	10	0.45095091836	0.140336661817	0.0151446123989	nob
P0AFX7	P0AGB6	15	13	25	0.999	0	0.284	0	0.619	0.99	0	0.718	0.825	14	0	0	0.102886619617	nob
P25942	Q9Y4K3	12	22	688	0.984	0	0	0	0	0.591	0.9	0.66	0	10	0.139788294961	0.0277533610285	1.0	nob
P61586	Q07960	24	18	232	0.993	0	0	0	0.053	0.604	0.9	0.84	0	10	0.541217952649	0.196117765027	0.0151446123989	nob
P55211	Q13490	24	21	223	0.994	0	0	0	0	0.712	0.9	0.826	0	10	0.0723703227921	0.0659936609415	0.163146898342	nob
Q16531	Q5TAQ9	22	24	351	0.9	0	0	0	0.052	0.12	0.9	0.193	0	11	0	0.672056272972	0.0151446123989	nob
P06730	Q13542	15	25	85	0.993	0	0	0	0	0.933	0	0.902	0	10	0	0	0.0151446123989	nob
P06730	Q13541	15	28	125	0.999	0	0	0	0	0.99	0.9	0.976	0	10	0.455782252351	0.13189036997	0.719399617463	nob
P05737	P0CX23	14	23	84	0.997	0	0	0	0.912	0.868	0.8	0.555	0	11	0	0.612717700806	0	ob
P46674	Q08231	23	16	110	0.999	0	0	0	0	0.984	0.9	0.895	0	10	0	0.832391708124	0.0640990230188	ob
P05738	P0CH08	18	14	50	0.999	0	0	0	0.998	0.608	0	0.449	0	10	-0.0	0.612717700806	0	ob
Q96FZ7	Q9BRG1	18	18	69	0.999	0	0	0	0.103	0.986	0.9	0.907	0	10	0	0.685835392178	0.540553543267	nob
P28482	P35236	26	23	305	0.995	0	0	0	0.055	0.795	0.9	0.773	0	10	0	0.0659936609415	0.0151446123989	nob
P05756	P35997	15	14	100	0.999	0	0	0	0.98	0.925	0	0.471	0	10	0	0.736072782622	1.0	ob
P26368	Q01081	32	21	452	0.999	0	0	0	0.121	0.995	0.9	0.951	0	10	0	0.928474065605	0.241163816843	nob
P52564	Q16539	24	26	273	0.962	0	0.115591	0	0.069	0.41	0.9	0.304648	0	10	0	0.0818470781615	0.363218091357	nob
P04037	P10507	22	32	153	0.994	0	0	0	0.264	0.914	0.9	0.202	0	10	0.141794547589	0.481145042216	0.11333542771	nob
P0CG47	Q9H3M9	13	18	224	0.907	0	0	0	0.053	0.101	0.9	0	0	10	0.31040183307	0	-0.0	nob
P06701	P11938	26	22	105	0.995	0	0	0	0	0.927	0	0.934	0	10	0.801967410416	0.710078297887	0.438206389458	nob
P0A786	P0A7F3	16	22	2	0.999	0.292	0.782	0	0.645	0.99	0.964	0.283	0.867	14	0	0.098574476638	0.102886619617	nob
P38398	Q9BX63	13	22	600	0.995	0	0	0	0.136	0.866	0.9	0.629	0	10	0.243324516011	0.140336661817	0.0151446123989	nob
P0A7S3	P0AG63	24	20	0	0.999	0	0	0	0.979	0.989	0.23	0.142	0.367	14	0.0361519725109	1.0	0.576562228938	ob
P10507	P17505	32	18	61	0.813	0	0	0	0.734	0.069	0	0.307	0	10	0	0.406927414892	0.11333542771	nob
P46673	P53011	16	13	109	0.999	0	0	0	0.143	0.997	0.9	0.97	0	10	0	0.834681815052	0.0640990230188	ob
O60573	Q13541	13	28	233	0.973	0	0	0	0.049	0.781	0.8	0.444	0	10	0	0.0198939336995	0.0151446123989	nob
P0A7U3	P0AG59	19	23	6	0.999	0	0.293	0	0.994	0.997	0.976	0.616	0.602	14	0	1.0	0	ob
Q13285	Q15596	15	26	117	0.965	0	0	0	0	0.956	0	0.254	0	10	0	0.0818470781615	0.0151446123989	nob
P29366	Q03497	36	13	295	0.998	0	0	0	0.058	0.959	0.8	0.84	0	10	0	0.499079160978	0.0640990230188	nob
P14598	P19878	26	18	83	0.999	0	0	0	0.086	0.866	0.9	0.979	0	10	0	0.13189036997	0.0151446123989	nob
P00734	P07204	19	9	25	0.996	0	0	0	0	0.866	0.9	0.791	0	10	0	0.384088405278	0.0151446123989	nob
P49841	Q92837	28	15	429	0.966	0	0	0	0	0.41	0.9	0.483	0	10	0	0.0659936609415	0.0151446123989	nob
P04229	Q16655	20	13	7	0	0	0	0	0	0	0	0	0	9	0	0.212151665442	0.0151446123989	nob
P52948	P78406	22	23	228	0.994	0	0	0	0.126	0.791	0.8	0.865	0	10	0	0.652528370052	0.0151446123989	nob
P63208	Q9Y297	12	20	684	0.995	0	0	0	0	0.757	0.9	0.823	0	10	0.484836474079	0.659902228467	0.625678447137	ob
P31751	P49841	22	28	476	0.968	0	0	0	0.067	0.603	0.9	0.217905	0	10	0.251476970951	0.230032500835	0.4208439103	nob
P55957	Q07820	19	17	149	0.617	0	0	0	0.049	0.452	0	0.325	0	10	0.285801501591	0.0659936609415	0.0151446123989	nob
P10826	Q15788	17	27	151	0.743	0	0	0	0	0.709	0	0.152	0	10	0	0.129736483021	0.0151446123989	nob
P37231	Q15788	29	27	284	0.995	0	0	0	0	0.925	0.9	0.408	0	10	0.241033199521	0.0818470781615	0.666335686461	nob
P55210	P98170	26	17	257	0.999	0	0	0	0.054	0.962	0.9	0.777	0	10	0.282495623419	0.0759928894186	0.163146898342	nob
P11488	Q13432	20	19	186	0	0	0	0	0	0	0	0	0	10	0	0.0789564956921	0	nob
Q5RKV6	Q9Y3B2	16	13	134	0.999	0	0	0	0.285	0.988	0.9	0.924	0	10	0	0.701742217916	0.844290872737	ob
P10147	P14735	19	20	91	0	0	0	0	0	0	0	0	0	10	0.411353430272	0.169016947297	0.750180418479	nob
P46655	P46672	11	18	203	0.999	0	0	0	0.337	0.997	0.72	0.947	0.055	10	-0.0	0.867173571283	0.0640990230188	ob
P49137	Q16539	18	26	303	0.998	0	0.123903	0	0.055	0.976	0.9	0.274482	0	10	0.385672878092	0.196117765027	0.4208439103	nob
P30622	P68363	28	14	166	0	0	0	0	0	0	0	0	0	10	0	0.523160633438	0.0151446123989	nob
P54198	Q9Y294	14	24	93	0.999	0	0	0	0.059	0.958	0.9	0.908	0	10	0.788008152424	0.459103544489	0.0151446123989	nob
P61964	Q03164	29	17	305	0.998	0	0	0	0.072	0.914	0.9	0.815	0	10	0.715513907237	0.659902228467	0.744827441852	nob
P32570	Q99278	14	15	92	0.999	0	0	0	0.455	0.972	0.9	0.697	0	10	0	0.696144284407	0.0640990230188	ob
P20248	Q01094	12	14	258	0.988	0	0	0	0.319	0.578	0.9	0.657	0	10	0.074151828431	0.247753286124	0.0151446123989	nob
P0CX55	Q3E792	23	18	30	0.999	0	0	0	0.999	0.919	0.9	0.285	0	10	0	0	0	ob
Q07812	Q07820	10	17	173	0.984	0	0	0	0	0.789	0.9	0.29548	0	10	0.285801501591	0.856948131211	1.0	nob
Q14141	Q15019	7	25	152	0.957	0	0	0	0.135	0.921	0.36	0.094588	0	10	0	0.898163938346	0.0151446123989	ob
P0A6P9	P21513	13	22	12	0.985	0	0	0	0	0.977	0	0.357	0.046	14	0	1.0	0.102886619617	nob
Q07157	Q9Y624	20	26	132	0.97	0	0	0	0.054	0.36	0.8	0.781	0	10	0	0.621956667645	0.397744942754	nob
Q07812	Q07817	10	23	223	0.996	0	0	0	0	0.956	0.9	0.307506	0	10	0.852915502957	0.856948131211	1.0	nob
P05106	P79483	12	20	58	0	0	0	0	0	0	0	0	0	9	0	0.178693497984	0	nob
P0CX49	P10664	25	16	134	0.999	0	0	0	0.99	0.966	0	0.243	0.044	10	0	0.612717700806	0	ob
P35222	Q9NQB0	19	11	485	0.996	0	0	0	0	0.693	0.9	0.898	0	10	0.523867667727	0.928474065605	0.537752981056	nob
P60953	Q07912	15	23	374	0.968	0	0	0	0.053	0.403	0.9	0.51	0	10	0.277189501139	0.208234049197	0.750180418479	nob
P36149	Q03784	16	26	51	0.999	0	0	0	0.084	0.997	0.9	0.93	0	10	0	1.0	1.0	ob
P00533	P01133	15	17	1125	0.999	0	0	0	0	0.875	0.9	0.978	0	10	0.618510481483	0.351684860246	0.540553543267	nob
P12004	Q15054	15	21	360	0.999	0	0	0	0.169	0.988	0.9	0.823	0	10	0	0.0818470781615	0.0151446123989	nob
P00533	P01135	15	15	1122	0.994	0	0	0	0	0.866	0.9	0.63	0	10	0.618510481483	0.551762237025	0.0151446123989	nob
P25054	Q07666	14	23	477	0	0	0	0	0	0	0	0	0	10	0.309024131418	0.140336661817	0.0151446123989	nob
P38630	P40339	26	12	90	0.999	0	0	0	0.149	0.997	0.9	0.2626	0	10	1.0	0.928779226847	1.0	ob
P10600	P36897	27	18	198	0.982	0	0	0	0.051	0.528	0.9	0.647	0	10	0.614493029776	0.0428243019057	0.916473594327	ob
P01892	P78358	26	10	93	0	0	0	0	0	0	0	0	0	9	0	0.0659936609415	0.0151446123989	nob
P13804	P38117	19	19	123	0.999	0	0.526	0	0.85	0.943	0.939	0.931	0.309	10	0.815742493469	0.269560034884	0.766181858489	ob
P46674	Q6WNK7	23	17	216	0.999	0	0	0	0	0.972	0.9	0.852	0	10	0.16280471686	0.832391708124	0.0640990230188	ob
P22804	P40482	18	11	156	0.954	0	0	0	0.059	0.654	0	0.87	0	10	0.627477719174	0.630060544907	0.0640990230188	nob
P0A836	P0AGE9	11	13	0	0.999	0.752	0.782	0	0.98	0.991	0.966	0.695	0.881	14	0	1.0	0.102886619617	ob
Q13191	Q9Y5K6	18	21	204	0	0	0	0	0	0	0	0	0	10	0	0.0789564956921	0.0151446123989	nob
O95405	P84022	20	22	502	0.978	0	0	0	0.055	0.36	0.9	0.692	0	10	0.850496937363	0.300964376933	0.2758854342	nob
Q9NZI2	Q9UK17	17	22	39	0.998	0	0	0	0.053	0.915	0.9	0.871	0	10	0.457773356899	0.607190075727	0.0151446123989	ob
P01123	Q03784	29	26	98	0.993	0	0	0	0	0.821	0.9	0.657	0	10	0	0.440443680302	0.0640990230188	ob
P39079	P40413	19	11	162	0.999	0	0	0	0.978	0.958	0.9	0.20604	0	10	0.494140562128	0.775036565185	1.0	ob
P00128	P00163	14	22	45	0.999	0	0	0	0	0.996	0.9	0.598	0	10	0	1.0	0	ob
P07910	P30479	15	31	213	0	0	0	0	0	0	0	0	0	9	0	0	0	nob
P63165	Q9UER7	19	19	458	0.956	0	0	0	0	0.78	0	0.81	0	10	0.777221258907	0.627693452198	1.0	nob
Q01968	Q8N4B1	6	12	84	0.875	0	0	0	0	0.697	0	0.603	0	10	0	0.649132662433	0.0151446123989	nob
P05759	P48589	14	23	75	0.999	0	0	0	0.988	0.991	0.9	0.111	0	10	0	0.736072782622	0	ob
P0A7N4	P0AG44	23	21	1	0.998	0	0.163	0	0.826	0.989	0.23	0.197	0	14	1.0	1.0	0.534268781127	ob
P04234	P07766	22	16	43	0.998	0	0	0	0.312	0.87	0.9	0.814	0	10	0	0.743582207366	1.0	nob
P0A7W7	P0AG63	12	20	17	0.999	0	0.449	0	0.994	0.989	0.976	0.633	0.601	14	1.0	1.0	0.576562228938	ob
P38144	P43596	15	20	102	0.999	0	0	0	0	0.972	0.9	0.892	0	10	0	1.0	0.898949060236	ob
P07357	P07358	26	19	2	0.991	0	0	0	0.349	0.866	0.9	0.125852	0	10	0	0.815108141761	0	ob
P26449	P47074	19	20	42	0.999	0	0	0	0.111	0.997	0.9	0.809	0	10	0	0.832391708124	0.0640990230188	nob
P12612	P42943	11	23	113	0.995	0	0	0	0.708	0.853	0.9	0.12104	0	10	0.494140562128	0.775036565185	1.0	ob
P25604	P40343	24	30	100	0.998	0	0	0	0	0.953	0.72	0.903	0	10	0.666607463668	0.752991630302	0.549986466584	nob
Q16531	Q5T6F0	22	29	302	0.987	0	0	0	0.05	0.859	0.9	0.143	0	10	0	0.672056272972	0	nob
O75376	P20393	16	27	200	0.964	0	0	0	0	0.566	0.9	0.241	0	10	0.212530490077	0.459103544489	0.376626742024	nob
P01892	P04626	26	16	318	0	0	0	0	0	0	0	0	0	9	0.469390151542	0.212151665442	0.0151446123989	nob
P61964	Q9UMN6	29	12	244	0.992	0	0	0	0.072	0.778	0.9	0.682	0	10	0	0.577504130782	0.744827441852	nob
P01892	P02771	26	21	29	0	0	0	0	0	0	0	0	0	9	0	0.0659936609415	0.0151446123989	nob
